family,run,mechanism,source_dir,ate_rmse,rpe_t_m,rpe_t_norm,rpe_t_norm_valid,rpe_t_norm_starved,valid_pose_pct,tracking_loss_pct,n_active_frames,sim3_scale
HOVER_L0,1,RAW,p3x,0.06194992719284285,0.0029293674521811285,0.7227626603145718,0.695684051264315,0.7523301121084183,52.280701754385966,47.719298245614034,570,0.004053014375294602
HOVER_L0,1,EIS-GATED,p3x,0.05914394904357864,0.0038325174715608005,0.7221096868066156,0.6951439538013491,0.7604354520141009,58.771929824561404,41.228070175438596,570,0.005307389641190573
HOVER_L0,1,DELAYED-TRI,p3x,0.05914394904357864,0.0038325174715608005,0.7221096868066156,0.6951439538013491,0.7604354520141009,58.771929824561404,41.228070175438596,570,0.005307389641190573
HOVER_L0,2,RAW,p3x,0.061815869911111876,0.00335925659679423,0.708347011667538,0.6689713213041131,0.7553874356513242,54.51388888888889,45.48611111111111,576,0.0047423883230425685
HOVER_L0,2,EIS-GATED,p3x,0.052334272850019355,0.0041129131793990045,0.717596336178715,0.704603925354419,0.7378067530165089,60.9375,39.0625,576,0.005731513626868208
HOVER_L0,2,DELAYED-TRI,p3x,0.052334272850019355,0.0041129131793990045,0.717596336178715,0.704603925354419,0.7378067530165089,60.9375,39.0625,576,0.005731513626868208
HOVER_L0,3,RAW,p3x,0.05551655720260587,0.0036420430139369703,0.7626533642250973,0.7061399994838199,0.8418218663736711,58.42490842490842,41.57509157509158,546,0.004775489343887586
HOVER_L0,3,EIS-GATED,p3x,0.052301812937142665,0.003942994378794345,0.775031240786761,0.7260222483488644,0.8589073273471414,63.18681318681318,36.81318681318682,546,0.005087529600473492
HOVER_L0,3,DELAYED-TRI,p3x,0.052301812937142665,0.003942994378794345,0.775031240786761,0.7260222483488644,0.8589073273471414,63.18681318681318,36.81318681318682,546,0.005087529600473492
F3_L2,1,RAW,p3x,0.14436652450791937,0.010833264260411923,1.1442198259150915,1.1800290766579513,0.9357588305191581,85.3658536585366,14.634146341463413,574,0.009467817297911268
F3_L2,1,EIS-GATED,p3x,0.15193260529625283,0.011067325527730085,1.1438408612784794,1.1754351940894336,0.943338364593576,86.41114982578398,13.588850174216027,574,0.00967558154493629
F3_L2,1,DELAYED-TRI,p3x,0.15193260529625283,0.011067325527730085,1.1438408612784794,1.1754351940894336,0.943338364593576,86.41114982578398,13.588850174216027,574,0.00967558154493629
F3_L2,2,RAW,p3x,0.16734249002913085,0.00938855203186435,2.4020053359662885,2.5090607156964424,1.7110115213443888,86.6086956521739,13.391304347826086,575,0.00390863079747801
F3_L2,2,EIS-GATED,p3x,0.14488362883763908,0.012916496627553755,1.0072836739781577,1.0259888670452697,0.888337830884727,86.43478260869566,13.56521739130435,575,0.012823097366942773
F3_L2,2,DELAYED-TRI,p3x,0.14488362883763908,0.012916496627553755,1.0072836739781577,1.0259888670452697,0.888337830884727,86.43478260869566,13.56521739130435,575,0.012823097366942773
F3_L2,3,RAW,p3x,0.145212883331317,0.01106704094240542,1.0602624630107638,1.072041485986845,0.9902894574742805,85.44520547945206,14.554794520547945,584,0.010438020139823688
F3_L2,3,EIS-GATED,p3x,0.1526483333515624,0.009078048318785125,2.021641484675179,2.1083756579226063,1.4600933117270884,86.64383561643835,13.356164383561644,584,0.004490434326560979
