family,run,condition,valid_pose_pct,ate_rmse,rpe_t_norm,tracking_loss_pct,n_active_frames,sim3_scale
F9_L2,1,RAW,93.54375896700144,3.0962707182939546,0.9142630003007951,6.456241032998565,697,0.09165110844053427
F9_L2,1,EIS_FIXED,62.12338593974175,3.5389381408158957,0.8421367824074721,37.87661406025825,697,0.11491579836999087
F9_L2,1,EIS_INCREMENTAL,88.09182209469154,2.637162960162551,0.8978069887971443,11.908177905308465,697,0.07798970873418272
F9_L2,1,EIS_NULL,93.974175035868,3.834955827377627,0.9682041449793176,6.025824964131994,697,0.0631927054083998
F9_L2,1,EIS_GATED,92.25251076040172,2.701477300259789,0.8925037323578646,7.747489239598278,697,0.10985791080970662
F9_L2,2,RAW,93.82022471910112,3.938744298880193,0.9326888341321018,6.179775280898876,712,0.07407795941932759
F9_L2,2,EIS_FIXED,62.92134831460674,3.6622886605796556,0.8167963614420762,37.07865168539326,712,0.12957474378087427
F9_L2,2,EIS_INCREMENTAL,88.20224719101124,3.342312534972052,0.8925835753252946,11.797752808988763,712,0.08124581058827031
F9_L2,2,EIS_NULL,93.39887640449439,2.7123574924075307,0.8887132509792048,6.601123595505618,712,0.08995727425474188
F9_L2,2,EIS_GATED,92.2752808988764,3.011453744848527,0.9087848246534691,7.724719101123595,712,0.07958000544124776
F9_L2,3,RAW,91.76136363636364,2.9267766561638915,0.8689109223681205,8.238636363636363,704,0.09843464184085544
F9_L2,3,EIS_FIXED,62.5,3.0767572416672095,0.7413206320400175,37.5,704,0.180477656491364
F9_L2,3,EIS_INCREMENTAL,88.21022727272727,2.935260208704869,0.8638525673016638,11.789772727272728,704,0.08243758712934893
F9_L2,3,EIS_NULL,92.4715909090909,3.300524748239491,0.8959721849259483,7.528409090909091,704,0.0828109275655991
F9_L2,3,EIS_GATED,91.9034090909091,3.3574233100058053,0.8926988046989799,8.096590909090908,704,0.09954511416158551
