family,run,mechanism,rpe_t_norm,rpe_t_norm_valid,rpe_t_norm_starved,valid_pose_pct,tracking_loss_pct,n_frames,ate_rmse,family_clean
F6_L2,1,EIS-GATED,1.1723581327953194,1.1832552449257543,1.0165789616579697,93.47181008902078,6.528189910979229,674,0.5368774988607665,F6_L2
F6_L2,1,DELAYED-TRI,0.5114321361820944,0.878343468973866,0.235293138325787,43.02670623145401,56.97329376854599,674,0.4919386499722434,F6_L2
F6_L2,2,EIS-GATED,1.15082282552996,1.1667711687302709,0.946548301985552,92.76923076923076,7.230769230769231,650,0.5273649784686691,F6_L2
F6_L2,2,DELAYED-TRI,0.4758934765890507,0.974136595791708,0.2005485949244244,35.69230769230769,64.3076923076923,650,0.5127663663360055,F6_L2
F6_L2,3,EIS-GATED,1.1909272004720777,1.2119985040603978,0.9838471479661692,90.77901430842608,9.220985691573928,629,0.4112067618955917,F6_L2
F6_L2,3,DELAYED-TRI,0.7591643861880055,1.1416945853900524,0.3741899045629425,50.23847376788553,49.76152623211447,629,0.4899869229305639,F6_L2
F9_L2,3,DELAYED-TRI,0.4651928922450783,0.820883961149556,0.1813677937842164,44.46022727272727,55.53977272727273,704,2.9432620795082007,F9_L2
F9_L2,3,EIS-GATED,0.8926988046989799,0.8832488365175994,0.999798444087956,91.9034090909091,8.096590909090908,704,3.3574233100058053,F9_L2
F9_L2,2,DELAYED-TRI,0.4321120638314643,0.8099963509805608,0.1672314510690593,41.29213483146067,58.70786516853933,712,2.914649664277148,F9_L2
F9_L2,2,EIS-GATED,0.9087848246534692,0.8974978400915502,1.0434077677919915,92.2752808988764,7.724719101123595,712,3.011453744848527,F9_L2
F9_L2,1,DELAYED-TRI,0.4444173226325071,0.8258071049098964,0.1861750845121542,40.45911047345767,59.54088952654233,697,2.424652290156015,F9_L2
F9_L2,1,EIS-GATED,0.8925037323578646,0.8828853531699075,1.0068555738146876,92.25251076040172,7.747489239598278,697,2.701477300259789,F9_L2
F10_L3,1,EIS-GATED,1.1084675633154015,1.1110662981987918,1.0676921755022035,94.01709401709402,5.982905982905983,702,2.837388228376579,F10_L3
F10_L3,1,DELAYED-TRI,0.7709200054311327,1.0213306093225647,0.3275051811490713,63.960113960113965,36.03988603988604,702,2.801359464925794,F10_L3
F10_L3,2,EIS-GATED,1.1191978818482913,1.109987078204277,1.2347844373810186,92.6300578034682,7.369942196531793,692,1.852565136402904,F10_L3
F10_L3,2,DELAYED-TRI,0.5409092498390174,0.9870054233470804,0.2066194590582918,42.91907514450867,57.08092485549133,692,2.016259569917531,F10_L3
F10_L3,3,EIS-GATED,1.0998207844778127,1.1029838513870092,1.0524519288132592,93.75,6.25,656,2.91053684791342,F10_L3
F10_L3,3,DELAYED-TRI,0.7123804582543424,0.9474162446828258,0.3530207230200583,60.51829268292683,39.48170731707317,656,2.89971256654571,F10_L3
