run,source_dir,ate_raw,ate_gated,gated_better
1,phase2a_F9_L2_R1,3.0962707182939546,2.701477300259789,True
2,phase2a_F9_L2_R2,3.938744298880193,3.011453744848527,True
3,phase2a_F9_L2_R3,2.9267766561638915,3.3574233100058053,False
