run,mechanism,source_dir,valid_pct,ate_rmse,rpe_t_norm
1,RAW,phase2a_F9_L2_R1,93.54375896700144,3.0962707182939546,0.9142630003007951
1,FIXED,phase2a_F9_L2_R1,62.12338593974175,3.5389381408158957,0.8421367824074721
1,INCREMENTAL,phase2a_F9_L2_R1,88.09182209469154,2.637162960162551,0.8978069887971443
1,EIS-NULL,phase2a_F9_L2_R1,93.974175035868,3.834955827377627,0.9682041449793176
1,GATED,phase2a_F9_L2_R1,92.25251076040172,2.701477300259789,0.8925037323578646
2,RAW,phase2a_F9_L2_R2,93.82022471910112,3.938744298880193,0.9326888341321018
2,FIXED,phase2a_F9_L2_R2,62.92134831460674,3.6622886605796556,0.8167963614420762
2,INCREMENTAL,phase2a_F9_L2_R2,88.20224719101124,3.342312534972052,0.8925835753252946
2,EIS-NULL,phase2a_F9_L2_R2,93.39887640449437,2.7123574924075307,0.8887132509792048
2,GATED,phase2a_F9_L2_R2,92.2752808988764,3.011453744848527,0.9087848246534691
3,RAW,phase2a_F9_L2_R3,91.76136363636364,2.9267766561638915,0.8689109223681205
3,FIXED,phase2a_F9_L2_R3,62.5,3.0767572416672095,0.7413206320400175
3,INCREMENTAL,phase2a_F9_L2_R3,88.21022727272727,2.935260208704869,0.8638525673016638
3,EIS-NULL,phase2a_F9_L2_R3,92.4715909090909,3.300524748239491,0.8959721849259483
3,GATED,phase2a_F9_L2_R3,91.9034090909091,3.3574233100058053,0.8926988046989799
