metric,family,k_gated_better,paired_t_p,mean_diff_gated_minus_raw,raw_r1,raw_r2,raw_r3,gated_r1,gated_r2,gated_r3
valid_pose_pct,HOVER_L0,3,0.009085856655281686,5.892247981063771,52.280701754385966,54.51388888888889,58.42490842490842,58.77192982456141,60.9375,63.18681318681318
valid_pose_pct,F3_L2,2,0.2529905296920455,0.6900044202518103,85.3658536585366,86.6086956521739,85.44520547945206,86.41114982578398,86.43478260869566,86.64383561643835
valid_pose_pct,F7_L2,2,0.8240863939019201,-0.09561272061271116,90.06993006993007,91.1931818181818,89.71428571428572,90.34965034965036,90.3409090909091,90.0
valid_pose_pct,F8_L2,1,0.5203542297665728,-0.6137880939279748,91.12676056338027,91.78470254957509,89.97175141242937,90.84507042253522,89.66005665722379,90.5367231638418
ate_rmse,HOVER_L0,3,0.13919341940759553,-0.0051674398252733,0.0619499271928428,0.0618158699111118,0.0555165572026058,0.0591439490435786,0.0523342728500193,0.0523018129371426
ate_rmse,F3_L2,1,0.8266578700850031,-0.0024857767943043028,0.1443665245079193,0.1673424900291308,0.145212883331317,0.1519326052962528,0.144883628837639,0.1526483333515624
ate_rmse,F7_L2,1,0.9293531366967255,-0.013853336232750793,2.831157451247013,2.7185429027760475,3.172531763790928,2.9782283916356715,2.819081728059014,2.8833619894210503
ate_rmse,F8_L2,1,0.5255167126854119,0.03610458168864413,2.9757023249433345,2.718547719398968,2.9604953677394774,2.9190705461365694,2.784294783233323,3.05969382777782
rpe_t_norm,HOVER_L0,1,0.21701134917374024,0.00699140918829481,0.7227626603145718,0.708347011667538,0.7626533642250973,0.7221096868066156,0.717596336178715,0.775031240786761
rpe_t_norm,F3_L2,2,0.8521751508999924,-0.1445738683201093,1.1442198259150915,2.4020053359662885,1.0602624630107638,1.1438408612784794,1.0072836739781577,2.021641484675179
rpe_t_norm,F7_L2,2,0.6439518108245275,-0.024546175453714625,1.0468610772511997,1.0839593073651332,1.2072667858339334,1.0977553921694958,1.0659307269984717,1.100762524921155
rpe_t_norm,F8_L2,2,0.7163679717092164,-0.00871671360625744,1.1279936856462611,1.0966659678289443,1.1011994415773938,1.0849106948820717,1.0847124287477332,1.130085830604022
