family,run,mechanism,source_dir,ate_rmse,rpe_t_m,rpe_t_norm,rpe_t_norm_valid,rpe_t_norm_starved,valid_pose_pct,tracking_loss_pct,n_active_frames,sim3_scale
HOVER_L0,1,RAW,p3x,0.0619499271928428,0.0029293674521811,0.7227626603145718,0.695684051264315,0.7523301121084183,52.280701754385966,47.719298245614034,570,0.0040530143752946
HOVER_L0,1,EIS-GATED,p3x,0.0591439490435786,0.0038325174715608,0.7221096868066156,0.6951439538013491,0.7604354520141009,58.77192982456141,41.2280701754386,570,0.0053073896411905
HOVER_L0,2,RAW,p3x,0.0618158699111118,0.0033592565967942,0.708347011667538,0.6689713213041131,0.7553874356513242,54.51388888888889,45.48611111111111,576,0.0047423883230425
HOVER_L0,2,EIS-GATED,p3x,0.0523342728500193,0.004112913179399,0.717596336178715,0.704603925354419,0.7378067530165089,60.9375,39.0625,576,0.0057315136268682
HOVER_L0,3,RAW,p3x,0.0555165572026058,0.0036420430139369,0.7626533642250973,0.7061399994838199,0.8418218663736711,58.42490842490842,41.57509157509158,546,0.0047754893438875
HOVER_L0,3,EIS-GATED,p3x,0.0523018129371426,0.0039429943787943,0.775031240786761,0.7260222483488644,0.8589073273471414,63.18681318681318,36.81318681318682,546,0.0050875296004734
F3_L2,3,RAW,p3x,0.145212883331317,0.0110670409424054,1.0602624630107638,1.072041485986845,0.9902894574742804,85.44520547945206,14.554794520547944,584,0.0104380201398236
F3_L2,2,EIS-GATED,p3x,0.144883628837639,0.0129164966275537,1.0072836739781577,1.0259888670452697,0.888337830884727,86.43478260869566,13.56521739130435,575,0.0128230973669427
F3_L2,3,EIS-GATED,p3x,0.1526483333515624,0.0090780483187851,2.021641484675179,2.1083756579226063,1.4600933117270884,86.64383561643835,13.356164383561644,584,0.0044904343265609
F3_L2,1,EIS-GATED,p3x,0.1519326052962528,0.01106732552773,1.1438408612784794,1.1754351940894336,0.943338364593576,86.41114982578398,13.588850174216027,574,0.0096755815449362
F3_L2,1,RAW,p3x,0.1443665245079193,0.0108332642604119,1.1442198259150915,1.180029076657951,0.935758830519158,85.3658536585366,14.634146341463412,574,0.0094678172979112
F3_L2,2,RAW,p3x,0.1673424900291308,0.0093885520318643,2.4020053359662885,2.5090607156964424,1.7110115213443888,86.6086956521739,13.391304347826086,575,0.003908630797478
F7_L2,1,RAW,p3x,2.831157451247013,0.0372084486141602,1.0468610772511997,0.9779935891169588,1.6705483289458014,90.06993006993007,9.93006993006993,715,0.0355428713730197
F7_L2,1,EIS-GATED,p3x,2.9782283916356715,0.0386300568931144,1.0977553921694958,1.0214949774842832,1.8106244859660487,90.34965034965036,9.65034965034965,715,0.0351900406672289
F7_L2,2,RAW,p3x,2.7185429027760475,0.0373382628649989,1.0839593073651332,0.9923917236562776,2.0306499711937867,91.1931818181818,8.806818181818182,704,0.0344461850286244
F7_L2,2,EIS-GATED,p3x,2.819081728059014,0.0385249850676899,1.0659307269984717,0.972746500231546,1.9361069622484404,90.3409090909091,9.659090909090908,704,0.0361421095122864
F7_L2,3,RAW,p3x,3.172531763790928,0.0393666004960393,1.2072667858339334,1.1413785714147455,1.78104331973436,89.71428571428572,10.285714285714285,700,0.0326080373931983
F7_L2,3,EIS-GATED,p3x,2.8833619894210503,0.0403537644051362,1.100762524921155,1.0275976274430334,1.7582013894031312,90.0,10.0,700,0.0366598276117972
F8_L2,3,RAW,p3x,2.9604953677394774,0.0385556230563648,1.1011994415773938,1.032981479853589,1.7122786480047167,89.97175141242937,10.028248587570625,708,0.0350123888558611
F8_L2,1,RAW,p3x,2.9757023249433345,0.0391681116922461,1.1279936856462611,1.0698039053869923,1.7246698451301936,91.12676056338027,8.87323943661972,710,0.0347236976506704
F8_L2,1,EIS-GATED,p3x,2.9190705461365694,0.0392874408275496,1.0849106948820717,1.0242382339620086,1.6860347692285418,90.84507042253522,9.15492957746479,710,0.0362126035008071
F8_L2,2,RAW,p3x,2.718547719398968,0.0384961188562209,1.0966659678289443,1.0079454246955837,2.086358923126948,91.78470254957509,8.21529745042493,706,0.0351028663107247
F8_L2,2,EIS-GATED,p3x,2.784294783233323,0.0387359558160218,1.0847124287477332,0.9910804629550402,1.8953343791721449,89.66005665722379,10.339943342776204,706,0.0357108066519909
F8_L2,3,EIS-GATED,p3x,3.05969382777782,0.038910417957297,1.130085830604022,1.008647171640583,2.290096901299561,90.5367231638418,9.463276836158192,708,0.0344313829123047
