family,run,source_dir,n_gt_rows,n_heading_jumps_gt10deg,max_jump_deg,mean_heading_offset_deg,peak_to_peak_deg,peak_rate_degps,p99_rate_degps,median_rate_degps
F6_L2,1,p3_F6_L2_R1,961,4,20.521372975111632,78.92419966618259,118.32771752237862,858.834560317789,276.21815339801293,22.065292338351128
F6_L2,2,p3_F6_L2_R2,1152,0,3.0916748369108475,79.60469349961548,118.78721727448763,136.91723085522352,109.86751217786264,31.916407113008027
F6_L2,3,p3_F6_L2_R3,869,4,28.689670004549455,77.81929363457641,118.56182629620417,1118.980674568955,235.5301306002801,23.126725892951505
F9_L2,1,phase2a_F9_L2_R1,1291,0,3.988570456463922,83.85425603744844,119.9553567915323,155.27638215674173,99.14839375710605,31.253666360464116
F9_L2,2,phase2a_F9_L2_R2,1336,0,4.029263791235159,81.99071532042923,119.33207708155402,155.8441647524498,102.67574461904704,30.783073381713777
F9_L2,3,phase2a_F9_L2_R3,1314,0,3.3355667709497183,83.23010833191944,120.08644749103011,158.2034933553972,100.77450415861746,31.173765224024486
F10_L3,1,p3_F10_L3_R1,901,0,5.454698915034754,90.68487820154243,126.9483399185082,215.88540700075924,149.98919105698357,36.52460239814914
F10_L3,2,p3_F10_L3_R2,910,11,23.645437596885515,87.42046580370493,129.82039532068922,590.7985706057257,482.4041379287192,29.473239775591153
F10_L3,3,p3_F10_L3_R3,1143,0,6.818678795158235,90.37198705613767,116.7954279715877,238.35980409332862,164.25980625008526,42.198976173254366
