bin,n_frames,loss_pct,ci_lo,ci_hi
0-5,322,7.142857142857142,4.658385093167702,10.248447204968944
5-10,178,7.303370786516854,3.932584269662921,11.235955056179774
10-15,134,5.970149253731343,2.2388059701492535,10.44776119402985
15-20,130,4.615384615384616,1.5384615384615385,8.461538461538462
20-30,255,5.88235294117647,3.1372549019607843,9.019607843137255
30-50,638,6.739811912225706,4.702194357366771,8.77742946708464
>50,456,8.552631578947368,6.134868421052632,11.18421052631579
