family,exploratory,active_frames,frames_bypassed,pct_bypassed
F1_L2,False,2052,0,0.0
F2_L2,False,1967,0,0.0
F4_L2,False,1873,0,0.0
F5_L2,False,2135,0,0.0
F6_L2,False,1953,1316,67.38351254480287
F9_L2,False,2113,1479,69.99526739233318
F10_L3,False,2050,1443,70.39024390243902
F11_L2,False,1829,113,6.178239475123018
HOVER_L0,True,1692,0,0.0
F3_L2,True,1733,0,0.0
F7_L2,True,2119,0,0.0
F8_L2,True,2124,0,0.0
