frame_idx,timestamp_sec,timestamp_nanosec,timestamp_total_sec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,num_detected,num_matched,num_inliers,inlier_ratio,feature_survival_rate,feature_vel_mean,feature_vel_max,consecutive_low_inliers,failure_triggered_streak,window_low_inlier_pct,failure_triggered_window,rel_tx,rel_ty,rel_tz,rel_rot_deg
0,3,412000000,3.412000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,0,0,0.0000,0.0000,0.0000,0.0000,1,False,100.00,True,0.0,0.0,0.0,0.00
1,3,600000000,3.600000000,-0.7435995639088693,0.599289583960924,-0.29649904402962596,0.0014666111978517632,-0.0389384940335452,0.013388718724382591,0.9991508319292505,2000,1671,168,0.1005,0.8355,174.1100,1205.5399,0,False,50.00,True,-0.7435995639088693,0.599289583960924,-0.29649904402962596,4.72
2,3,412000000,3.412000000,-0.09391692487453673,-0.1471414917665972,-0.4405584683157189,0.0013036684588495898,0.011977801997561908,-0.011459333654758538,0.9998617486333026,168,168,93,0.5536,1.0000,113.1489,466.3535,0,False,33.33,True,0.6163792821446754,-0.7638885171749051,-0.19118293300171788,6.49
3,3,796000000,3.796000000,-0.09391692487453673,-0.1471414917665972,-0.4405584683157189,0.0013036684588495898,0.011977801997561908,-0.011459333654758538,0.9998617486333026,2000,0,0,0.0000,0.0000,0.0000,0.0000,1,False,50.00,True,0.0,0.0,0.0,0.00
4,3,532000000,3.532000000,-0.2286678894407133,-1.1355783115114673,-0.5100914167727815,0.011101233187251628,0.006967335714552083,-0.028578007406167324,0.9995056359758339,2000,1637,439,0.2682,0.8185,116.3347,1039.9728,0,False,40.00,True,-0.11038970502407423,-0.9914281409212812,-0.0698881564649552,2.33
5,3,468000000,3.468000000,0.04129071481729585,-1.0904395240937688,0.45172189248090444,0.010910034056973604,0.012821766874362137,-0.027945229579213596,0.9994676771136025,439,439,285,0.6492,1.0000,17.2733,21.4160,0,False,33.33,True,0.25291354834151325,0.08147887489183626,0.9640518295256046,0.68
6,3,928000000,3.928000000,-0.6221748304512635,-1.632380383415347,-0.06414008056933096,-0.44482201476972383,-0.11583870543079341,0.6852160186081929,-0.5649723686544841,285,257,25,0.0973,0.9018,265.0676,982.9177,0,False,28.57,True,-0.6185535352134245,-0.5890931550389527,-0.5199622859027637,107.66
7,3,832000000,3.832000000,-0.6221748304512635,-1.632380383415347,-0.06414008056933096,-0.44482201476972383,-0.11583870543079341,0.6852160186081929,-0.5649723686544841,2000,0,0,0.0000,0.0000,0.0000,0.0000,1,False,37.50,True,0.0,0.0,0.0,0.00
8,3,500000000,3.500000000,-1.5090550141257633,-1.3472927072133303,-0.42769001755628394,-0.4536337615881085,-0.12058060344836571,0.6868941662279374,-0.5548451430998362,2000,1633,403,0.2468,0.8165,126.3576,1101.4479,0,False,33.33,True,0.047592770169517955,-0.9985262457258034,0.02608188690114084,1.64
9,3,412000000,3.412000000,-1.998999388352391,-1.998240245433065,0.1521563523119312,-0.4527564101523568,-0.11999190112292567,0.6874518234798377,-0.5549987091202131,403,403,400,0.9926,1.0000,22.8658,34.1809,0,False,30.00,True,-0.02734324165128931,9.216758457315585e-06,0.999626103626276,0.14
10,3,412000000,3.412000000,-1.998999388352391,-1.998240245433065,0.1521563523119312,-0.4527564101523568,-0.11999190112292567,0.6874518234798377,-0.5549987091202131,400,400,0,0.0000,1.0000,0.0000,0.0000,1,False,36.36,True,0.0,0.0,0.0,0.00
11,3,432000000,3.432000000,-1.998999388352391,-1.998240245433065,0.1521563523119312,-0.4527564101523568,-0.11999190112292567,0.6874518234798377,-0.5549987091202131,400,400,0,0.0000,1.0000,5.0782,7.5749,2,False,41.67,True,0.0,0.0,0.0,0.00
