frame_idx,timestamp_sec,timestamp_nanosec,timestamp_total_sec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,num_detected,num_matched,num_inliers,inlier_ratio,rel_tx,rel_ty,rel_tz,rel_rot_deg
43,48,512000000,48.512,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
44,48,544000000,48.544,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
45,48,580000000,48.58,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
46,48,644000000,48.644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
47,48,676000000,48.676,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
48,48,712000000,48.712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
49,48,744000000,48.744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
50,48,776000000,48.776,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
51,48,844000000,48.844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
52,48,876000000,48.876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
53,48,940000000,48.94,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,1979,7,0.0035,-0.0,-0.0,-0.0,0.0
54,49,8000000,49.008,-0.0254202502942289,-0.0117543970376298,0.9996077455808656,1.3449169565137542e-07,-3.309040350263224e-07,-1.2654696760265272e-08,0.9999999999999362,1979,1872,35,0.0187,-0.0254202502942289,-0.0117543970376298,0.9996077455808656,0.0
55,49,72000000,49.072,-0.0254202502942289,-0.0117543970376298,0.9996077455808656,1.3449169565137542e-07,-3.309040350263224e-07,-1.2654696760265272e-08,0.9999999999999362,2000,0,0,0.0,-0.0,-0.0,-0.0,0.0
56,49,172000000,49.172,0.8937874342103815,0.3762642231113488,0.932534776619032,1.998744117732145e-06,-4.115306215405896e-07,2.097449892531635e-06,0.9999999999957182,2000,2000,10,0.005,0.9192076845046104,0.3880186201489786,-0.0670729689618337,0.0
57,49,272000000,49.272,0.8937874342103815,0.3762642231113488,0.932534776619032,1.998744117732145e-06,-4.115306215405896e-07,2.097449892531635e-06,0.9999999999957182,2000,0,0,0.0,-0.0,-0.0,-0.0,0.0
