frame_idx,timestamp_sec,timestamp_nanosec,timestamp_total_sec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,num_detected,num_matched,num_inliers,inlier_ratio,feature_survival_rate,feature_vel_mean,feature_vel_max,consecutive_low_inliers,failure_triggered_streak,window_low_inlier_pct,failure_triggered_window,rel_tx,rel_ty,rel_tz,rel_rot_deg
31,8,584000000,8.584000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0023,0.0099,32,True,100.00,True,0.0,0.0,0.0,0.00
32,8,616000000,8.616000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0021,0.0148,33,True,100.00,True,0.0,0.0,0.0,0.00
33,8,648000000,8.648000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0026,0.0101,34,True,100.00,True,0.0,0.0,0.0,0.00
34,8,680000000,8.680000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0022,0.0092,35,True,100.00,True,0.0,0.0,0.0,0.00
35,8,716000000,8.716000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0003,0.0074,36,True,100.00,True,0.0,0.0,0.0,0.00
36,8,748000000,8.748000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0035,0.0124,37,True,100.00,True,0.0,0.0,0.0,0.00
37,8,780000000,8.780000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0022,0.0098,38,True,100.00,True,0.0,0.0,0.0,0.00
38,8,812000000,8.812000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0003,0.0096,39,True,100.00,True,0.0,0.0,0.0,0.00
39,8,848000000,8.848000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0018,0.0248,40,True,100.00,True,0.0,0.0,0.0,0.00
40,8,880000000,8.880000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0025,0.0086,41,True,100.00,True,0.0,0.0,0.0,0.00
41,8,912000000,8.912000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0028,0.0153,42,True,100.00,True,0.0,0.0,0.0,0.00
42,8,944000000,8.944000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0018,0.0083,43,True,100.00,True,0.0,0.0,0.0,0.00
43,8,980000000,8.980000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0025,0.0094,44,True,100.00,True,0.0,0.0,0.0,0.00
44,9,12000000,9.012000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0022,0.0090,45,True,100.00,True,0.0,0.0,0.0,0.00
45,9,44000000,9.044000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0017,0.0105,46,True,100.00,True,0.0,0.0,0.0,0.00
46,9,76000000,9.076000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0026,0.0094,47,True,100.00,True,0.0,0.0,0.0,0.00
47,9,112000000,9.112000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0022,0.0113,48,True,100.00,True,0.0,0.0,0.0,0.00
48,9,144000000,9.144000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0017,0.0100,49,True,100.00,True,0.0,0.0,0.0,0.00
49,9,176000000,9.176000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0029,0.0132,50,True,100.00,True,0.0,0.0,0.0,0.00
50,9,208000000,9.208000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0024,0.0139,51,True,100.00,True,0.0,0.0,0.0,0.00
51,9,244000000,9.244000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0003,0.0103,52,True,100.00,True,0.0,0.0,0.0,0.00
52,9,276000000,9.276000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0035,0.0116,53,True,100.00,True,0.0,0.0,0.0,0.00
53,9,308000000,9.308000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0022,0.0089,54,True,100.00,True,0.0,0.0,0.0,0.00
54,9,340000000,9.340000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0003,0.0091,55,True,100.00,True,0.0,0.0,0.0,0.00
55,9,376000000,9.376000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0017,0.0075,56,True,100.00,True,0.0,0.0,0.0,0.00
56,9,408000000,9.408000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0025,0.0084,57,True,100.00,True,0.0,0.0,0.0,0.00
57,9,440000000,9.440000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0022,0.0129,58,True,100.00,True,0.0,0.0,0.0,0.00
58,9,472000000,9.472000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0021,0.0138,59,True,100.00,True,0.0,0.0,0.0,0.00
59,9,508000000,9.508000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0025,0.0082,60,True,100.00,True,0.0,0.0,0.0,0.00
60,9,540000000,9.540000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0022,0.0123,61,True,100.00,True,0.0,0.0,0.0,0.00
61,9,572000000,9.572000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0016,0.0120,62,True,100.00,True,0.0,0.0,0.0,0.00
62,9,604000000,9.604000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0025,0.0105,63,True,100.00,True,0.0,0.0,0.0,0.00
63,9,640000000,9.640000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0021,0.0113,64,True,100.00,True,0.0,0.0,0.0,0.00
64,9,672000000,9.672000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0003,0.0058,65,True,100.00,True,0.0,0.0,0.0,0.00
65,9,704000000,9.704000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0035,0.0285,66,True,100.00,True,0.0,0.0,0.0,0.00
66,9,736000000,9.736000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0023,0.0090,67,True,100.00,True,0.0,0.0,0.0,0.00
67,9,772000000,9.772000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0009,0.0139,68,True,100.00,True,0.0,0.0,0.0,0.00
68,9,804000000,9.804000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0017,0.0085,69,True,100.00,True,0.0,0.0,0.0,0.00
69,9,836000000,9.836000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0024,0.0123,70,True,100.00,True,0.0,0.0,0.0,0.00
70,9,868000000,9.868000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0022,0.0119,71,True,100.00,True,0.0,0.0,0.0,0.00
