frame_idx,timestamp_sec,timestamp_nanosec,timestamp_total_sec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,num_detected,num_matched,num_inliers,inlier_ratio,rel_tx,rel_ty,rel_tz,rel_rot_deg
34,79,36000000,79.036000000,-0.19291590496655275,0.20011754976630514,0.14929534638412192,-0.0053921283206235125,-0.0018724989818849518,-0.001999381248261153,0.999981710419926,1952,1836,108,0.0588,0.6760128602645539,0.6674500003645724,0.312277296277314,0.69
35,80,556000000,80.556000000,-0.6139354822028682,0.24460692513613602,1.0552551749984804,-0.007844789284379159,-0.15021938654093325,-0.00435200636350868,0.9886119841621188,108,103,17,0.1650,-0.4177779697353884,0.03303126317528275,0.9079485137698184,17.07
36,81,16000000,81.016000000,-0.6139354822028682,0.24460692513613602,1.0552551749984804,-0.007844789284379159,-0.15021938654093325,-0.00435200636350868,0.9886119841621188,2000,0,0,0.0000,0.0,0.0,0.0,0.00
37,81,84000000,81.084000000,-0.6139354822028682,0.24460692513613602,1.0552551749984804,-0.007844789284379159,-0.15021938654093325,-0.00435200636350868,0.9886119841621188,2000,1996,4,0.0020,0.0,0.0,0.0,0.00
38,81,148000000,81.148000000,-0.6139354822028682,0.24460692513613602,1.0552551749984804,-0.007844789284379159,-0.15021938654093325,-0.00435200636350868,0.9886119841621188,1996,1972,4,0.0020,0.0,0.0,0.0,0.00
39,81,248000000,81.248000000,-0.6139354822028682,0.24460692513613602,1.0552551749984804,-0.007844789284379159,-0.15021938654093325,-0.00435200636350868,0.9886119841621188,1972,1926,6,0.0031,0.0,0.0,0.0,0.00
40,81,348000000,81.348000000,-1.1952376449847897,-0.43228064075307515,0.6036900980830479,0.0464446345018236,-0.15555437768574212,0.009382759327274727,0.9866902732550878,1926,1851,17,0.0092,-0.6849692755988579,-0.6767369571699684,-0.2698966140689954,6.45
41,81,544000000,81.544000000,-1.1952376449847897,-0.43228064075307515,0.6036900980830479,0.0464446345018236,-0.15555437768574212,0.009382759327274727,0.9866902732550878,2000,0,0,0.0000,0.0,0.0,0.0,0.00
42,81,612000000,81.612000000,-1.1952376449847897,-0.43228064075307515,0.6036900980830479,0.0464446345018236,-0.15555437768574212,0.009382759327274727,0.9866902732550878,2000,1965,1,0.0005,0.0,0.0,0.0,0.00
43,81,676000000,81.676000000,-1.1952376449847897,-0.43228064075307515,0.6036900980830479,0.0464446345018236,-0.15555437768574212,0.009382759327274727,0.9866902732550878,1965,1895,6,0.0032,0.0,0.0,0.0,0.00
44,81,776000000,81.776000000,-0.8373772938942418,0.4419662435809312,0.9317577044534934,0.004209635416184452,-0.15464239003768332,0.01922817722575925,0.9877744111757859,1895,1758,318,0.1809,0.4450261684935772,0.8876350844345735,0.11855659507911766,4.97
45,81,876000000,81.876000000,-0.6400400627971076,1.2730274889572155,1.4517531117952664,-0.03885185092403364,-0.15318056628935087,0.02591655049036634,0.9870940077833168,318,291,55,0.1890,0.3771844440458622,0.8238963009417499,0.4229973764272248,5.00
46,81,908000000,81.908000000,-0.6400400627971076,1.2730274889572155,1.4517531117952664,-0.03885185092403364,-0.15318056628935087,0.02591655049036634,0.9870940077833168,2000,0,0,0.0000,0.0,0.0,0.0,0.00
47,81,976000000,81.976000000,-0.7094535894903429,2.1724937649717306,1.8831950900780803,-0.06482798839948478,-0.15282637679424943,0.03214110503931859,0.98560051737145,2000,1973,70,0.0355,0.12026602680943187,0.8617502952894344,0.4928716986843997,3.07
48,82,8000000,82.008000000,-0.7094535894903429,2.1724937649717306,1.8831950900780803,-0.06482798839948478,-0.15282637679424943,0.03214110503931859,0.98560051737145,2000,0,0,0.0000,0.0,0.0,0.0,0.00
49,82,72000000,82.072000000,-0.8357589569974466,3.0700021876906742,2.305717971455467,-0.0851668113530226,-0.15322187689718783,0.03971361020863312,0.9837136269505767,2000,1996,530,0.2655,0.0800274880149688,0.8354651255359489,0.5436852261881089,2.50
50,82,172000000,82.172000000,-1.012633286759781,3.9705673161203086,2.702829946756692,-0.10943032247283915,-0.15281591025872707,0.050728777773893556,0.9808663992618231,530,523,477,0.9120,0.04288092933316824,0.8224910322305361,0.5671593495657735,3.07
