timestamp_total_sec,maneuver_state,maneuver_time_sec,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,cmd_thrust,cmd_q_w,cmd_q_x,cmd_q_y,cmd_q_z,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,pos_error_x,pos_error_y,pos_error_z,telem_age_sec
1788544686.723696,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0277,0.0392,0.0319,0.0208,0.0181,0.0046,-14.0228,7.5621,-2.3757,-0.0143
1788544686.758963,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0277,0.0392,0.0319,0.0208,0.0181,0.0046,-14.0228,7.5621,-2.3757,-0.0006
1788544686.780040,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0277,0.0392,0.0319,0.0208,0.0181,0.0046,-14.0228,7.5621,-2.3757,-0.0010
1788544686.801420,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0282,0.0387,0.0317,0.0211,0.0171,0.0045,-14.0223,7.5616,-2.3759,-0.0003
1788544686.821891,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0282,0.0387,0.0317,0.0211,0.0171,0.0045,-14.0223,7.5616,-2.3759,-0.0003
1788544686.842501,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0287,0.0380,0.0316,0.0215,0.0159,0.0045,-14.0218,7.5609,-2.3760,-0.0006
1788544686.863275,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0291,0.0371,0.0314,0.0216,0.0146,0.0042,-14.0214,7.5600,-2.3762,-0.0008
1788544686.884224,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0291,0.0371,0.0314,0.0216,0.0146,0.0042,-14.0214,7.5600,-2.3762,-0.0003
1788544686.904650,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0294,0.0360,0.0310,0.0216,0.0131,0.0040,-14.0211,7.5589,-2.3766,-0.0003
1788544686.925097,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0294,0.0360,0.0310,0.0216,0.0131,0.0040,-14.0211,7.5589,-2.3766,-0.0002
1788544686.945482,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0297,0.0350,0.0307,0.0215,0.0117,0.0038,-14.0208,7.5579,-2.3769,-0.0005
1788544686.966133,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0299,0.0339,0.0304,0.0215,0.0103,0.0036,-14.0206,7.5568,-2.3772,-0.0002
1788544686.986732,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0299,0.0339,0.0304,0.0215,0.0103,0.0036,-14.0206,7.5568,-2.3772,-0.0004
1788544687.007536,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0302,0.0328,0.0300,0.0215,0.0089,0.0034,-14.0203,7.5557,-2.3776,-0.0003
1788544687.028138,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0304,0.0317,0.0296,0.0216,0.0076,0.0031,-14.0201,7.5546,-2.3780,-0.0004
1788544687.048721,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0304,0.0317,0.0296,0.0216,0.0076,0.0031,-14.0201,7.5546,-2.3780,-0.0004
