frame_idx,timestamp_sec,timestamp_nanosec,timestamp_total_sec,filename,width,height
0,8,548000000,8.548000000,frame_0000.png,1280,960
1,8,581000000,8.581000000,frame_0001.png,1280,960
2,8,614000000,8.614000000,frame_0002.png,1280,960
3,8,647000000,8.647000000,frame_0003.png,1280,960
4,8,680000000,8.680000000,frame_0004.png,1280,960
5,8,713000000,8.713000000,frame_0005.png,1280,960
6,8,746000000,8.746000000,frame_0006.png,1280,960
7,8,779000000,8.779000000,frame_0007.png,1280,960
8,8,812000000,8.812000000,frame_0008.png,1280,960
9,8,845000000,8.845000000,frame_0009.png,1280,960
10,8,878000000,8.878000000,frame_0010.png,1280,960
11,8,911000000,8.911000000,frame_0011.png,1280,960
12,8,944000000,8.944000000,frame_0012.png,1280,960
13,8,977000000,8.977000000,frame_0013.png,1280,960
14,9,10000000,9.010000000,frame_0014.png,1280,960
15,9,43000000,9.043000000,frame_0015.png,1280,960
16,9,76000000,9.076000000,frame_0016.png,1280,960
17,9,109000000,9.109000000,frame_0017.png,1280,960
18,9,142000000,9.142000000,frame_0018.png,1280,960
19,9,175000000,9.175000000,frame_0019.png,1280,960
20,9,208000000,9.208000000,frame_0020.png,1280,960
21,9,241000000,9.241000000,frame_0021.png,1280,960
22,9,274000000,9.274000000,frame_0022.png,1280,960
23,9,307000000,9.307000000,frame_0023.png,1280,960
24,9,340000000,9.340000000,frame_0024.png,1280,960
25,9,373000000,9.373000000,frame_0025.png,1280,960
26,9,406000000,9.406000000,frame_0026.png,1280,960
27,9,439000000,9.439000000,frame_0027.png,1280,960
28,9,472000000,9.472000000,frame_0028.png,1280,960
29,9,505000000,9.505000000,frame_0029.png,1280,960
30,9,538000000,9.538000000,frame_0030.png,1280,960
31,9,571000000,9.571000000,frame_0031.png,1280,960
32,9,604000000,9.604000000,frame_0032.png,1280,960
33,9,637000000,9.637000000,frame_0033.png,1280,960
34,9,670000000,9.670000000,frame_0034.png,1280,960
35,9,703000000,9.703000000,frame_0035.png,1280,960
36,9,736000000,9.736000000,frame_0036.png,1280,960
37,9,769000000,9.769000000,frame_0037.png,1280,960
38,9,802000000,9.802000000,frame_0038.png,1280,960
39,9,835000000,9.835000000,frame_0039.png,1280,960
40,9,868000000,9.868000000,frame_0040.png,1280,960
41,9,901000000,9.901000000,frame_0041.png,1280,960
42,9,934000000,9.934000000,frame_0042.png,1280,960
43,9,967000000,9.967000000,frame_0043.png,1280,960
44,10,0,10.000000000,frame_0044.png,1280,960
45,10,33000000,10.033000000,frame_0045.png,1280,960
46,10,66000000,10.066000000,frame_0046.png,1280,960
47,10,99000000,10.099000000,frame_0047.png,1280,960
48,10,132000000,10.132000000,frame_0048.png,1280,960
49,10,165000000,10.165000000,frame_0049.png,1280,960
50,10,198000000,10.198000000,frame_0050.png,1280,960
51,10,231000000,10.231000000,frame_0051.png,1280,960
52,10,264000000,10.264000000,frame_0052.png,1280,960
53,10,297000000,10.297000000,frame_0053.png,1280,960
54,10,330000000,10.330000000,frame_0054.png,1280,960
55,10,363000000,10.363000000,frame_0055.png,1280,960
56,10,396000000,10.396000000,frame_0056.png,1280,960
57,10,429000000,10.429000000,frame_0057.png,1280,960
